id_sub,order
ATA0029,1
ATA0034,2
ATA0039,3
ATA0040,4
ATA0042,5
ATA0052,6
ATA0054,7
ATA0055,8
ATA0075,9
ATA0165,10
ATA0167,11
ATA0207,12
ATA0265,13
ATA0196,14
ATA0221,15
ATA0273,16
ATA0274,17
ATA0311,18
ATA0318,19
ATA0324,20
ATA0336,21
ATA0342,22
ATA0364,23
ATA0386,24
ATA0416,25
BUZ0056,26
BUZ0092,27
BUZ0133,28
FUZR013,29
FUZR117,30
FUZR242,31
FUZR256,32
FUZHH021,33
BUZ0055,34
BUZ0054,35
BUZ0129,36
FUZR0148,37
FUZR0216,38
BUZ0135,39
FUZR0166,40
FUZR150,41
FUZR0107,42
BUZ0059,43
BUZ0093,44
FUZR0114,45
BUZ0091,46
FUZR277,47
BUZ0099,48
FUZR0224,49
FUZR0155,50
FUZR0259,51
BUZ0139,52
FUZR0192,53
FUZR0193,54
BUZ0113,55
BUZ0128,56
FUZR0276,57
